#Genus	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
AcidobacterialesOR	1	0	0	0	0	0	26	725	348	138	613	169	0	0	0	0	0	0	2	2	0	1	3	0
Actinoallomurus	0	0	0	0	0	0	0	146	8	185	11	83	0	1	1	1	0	0	0	0	1	0	0	0
ActinobacteriaCL	0	0	2	0	0	0	502	331	506	2134	315	197	0	0	0	0	0	1	20	79	35	29	56	21
ActinomycetalesOR	1	3	12	7	4	51	29	2	21	6	6	0	1530	488	62	748	4	1605	51	128	33	35	128	110
Adhaeribacter	0	1	0	0	0	0	94	142	133	9	22	1	0	1	55	2	122	1	1	1	1	0	5	0
Ahrensia	0	0	0	1	2	2	844	747	939	71	204	14	0	6	1	2	0	5	26	80	30	27	79	18
AlcaligenaceaeFA	50	62	139	98	75	47	0	0	0	1	0	0	12	27	66	36	255	128	0	0	0	2	0	0
AlcanivoracaceaeFA	165	120	73	64	136	110	18	43	4	1	95	37	11	58	68	23	116	13	0	1	67	47	9	18
Alcanivorax	4	8	4	3	6	2	0	0	0	0	8	0	2	5	11	13	12	4	0	3	174	132	0	127
Algibacter	0	1	0	1	0	0	235	69	205	29	37	6	1	0	0	1	0	1	14	5	67	78	32	9
Algoriphagus	0	1	0	0	0	2	245	78	59	10	63	13	0	3	0	1	0	0	19	12	16	7	18	2
Alicyclobacillus	0	0	25	2	11	50	6	181	49	3350	6	11	24	206	427	367	8	25	19	317	75	63	440	524
Alkalilimnicola	0	0	0	0	0	0	213	344	145	62	27	4	0	3	1	7	0	1	0	5	9	2	1	107
Alkaliphilus	0	0	3	0	8	53	0	1	3	1	0	1	13	82	13	51	0	11	2	3	15	19	14	37
AlphaproteobacteriaCL	204	356	305	324	1087	257	268	1264	2687	1096	1383	842	219	340	542	503	888	763	42	28	30	37	65	12
AlteromonadaceaeFA	8	9	9	3	20	3	405	434	76	4	38	7	1	1	11	3	10	5	25	2	1	0	13	0
AlteromonadalesOR	0	0	2	0	0	0	23	59	15	5	21	3	2	3	2	3	0	0	1	0	1	1	2	3
Amaricoccus	2	1	1	1	8	4	355	265	276	119	178	27	4	54	4	13	4	2	26	26	45	41	44	15
Aminobacterium	2431	2384	1777	2094	1592	1183	0	4	3	2	1	0	1255	480	472	2634	659	1200	0	1	2	2	0	1
Ammoniphilus	0	0	3	0	0	0	1	7	83	46	37	25	1	2	3	1	0	0	1	6	1	4	47	14
Amphritea	0	0	0	0	0	0	29	288	57	31	73	54	0	0	0	0	0	0	30	42	1	3	10	1
Anaerobacillus	41	69	69	7	47	185	0	1	2	0	1	0	154	62	169	221	162	135	0	0	0	0	0	0
AnaerolinaceaeFA	0	0	0	0	0	0	189	18	38	1720	229	870	0	0	0	0	1	0	89	276	393	406	860	548
AnaerolineaeCL	40	35	85	72	57	104	607	383	643	676	1291	567	31	563	105	67	31	104	920	1665	1437	1309	2678	991
Aquicella	0	0	0	0	0	0	25	146	106	22	565	10	0	1	0	0	0	0	0	0	0	0	1	0
Aquimarina	0	0	0	0	0	0	102	75	147	299	118	0	0	0	0	0	0	0	5	2	0	0	1	1
ArchaeaKI	190	200	74	167	601	127	0	0	1	0	1	0	102	166	332	147	499	142	70	6	22	26	19	1
Arcobacter	97	109	104	104	18	20	0	0	0	1	0	0	71	173	112	20	338	218	2	0	5	1	1	1
Arenibacter	1	1	0	3	1	7	839	160	273	5	45	3	11	25	1	41	1	46	62	32	18	25	37	4
Arhodomonas	0	0	0	0	1	0	204	27	158	1	15	0	0	0	4	0	2	0	1	38	27	26	3	60
ArmatimonadetesPH	1	1	3	2	0	2	3	0	4	0	1	0	11	8	68	3	123	17	2	1	3	2	0	0
Aromatoleum	0	0	0	0	0	0	16	47	13	21	153	24	0	0	0	0	0	0	1	0	0	0	8	0
At425_EubF1FA	4	2	2	2	2	16	2	0	3	116	0	5	12	49	7	14	1	5	53	190	192	172	343	262
AurantimonadaceaeFA	0	0	0	0	0	0	63	118	131	53	339	196	3	1	0	0	0	0	0	2	0	0	2	1
B10OR	0	0	3	1	3	3	4	1	9	121	3	20	0	17	1	2	1	0	138	569	632	531	879	1179
BA021OR	2497	2049	990	2176	1453	3973	0	13	8	87	6	10	845	2088	423	1386	54	284	6	66	508	428	215	423
BB34CL	0	0	0	0	0	0	3	6	10	1	3	2	0	0	0	0	0	0	30	32	35	30	119	34
BD2-13	0	0	0	0	0	0	51	41	66	45	65	9	0	0	0	0	0	0	4	1	1	0	7	0
BD2-6	0	1	0	0	0	0	2	1	0	20	0	0	0	0	0	0	0	0	360	416	54	42	265	29
BD4-9CL	2	2	5	5	9	17	0	0	1	41	1	5	25	214	94	21	43	27	12	52	78	66	317	215
BPC102CL	2	0	0	2	0	1	165	717	467	897	902	130	0	13	2	2	0	0	205	530	325	284	505	427
BPC110OR	0	0	0	0	0	0	51	7	14	13	3	1	0	3	1	0	0	0	260	585	148	126	382	115
BacillaceaeFA	436	398	59	60	66	94	1	6	19	35	111	407	28	100	170	82	7	26	8	25	77	66	440	163
Bacillus	5	2	45	3	40	354	23	16	124	21	87	68	96	706	206	470	13	91	22	98	194	158	356	803
BacteriovoracaceaeFA	2	3	9	15	3	4	0	0	0	0	0	0	56	15	37	24	72	199	0	0	0	1	0	0
Bacteriovorax	43	36	5	14	37	24	0	0	0	0	0	0	7	2	7	12	7	6	0	0	0	0	0	0
BacteroidalesOR	14849	11591	13430	11686	16450	6648	2822	827	1734	13347	3312	13894	16041	15593	18631	8843	22763	22286	6322	8260	11899	10803	18409	15557
BacteroidetesPH	45	77	126	245	41	64	10	171	49	14	263	129	62	332	251	103	426	546	50	29	16	8	148	11
Balneola	1217	1044	978	492	1310	740	645	204	69	578	300	768	175	281	1057	211	1053	262	81	4269	1022	908	851	3388
BalneolaceaeFA	17465	17613	12964	16325	19992	11397	46	505	787	1243	649	2048	5761	6047	13668	5324	13133	6454	59	399	5914	4656	1148	7301
Bdellovibrio	60	74	176	201	65	77	0	0	1	0	2	2	118	64	116	63	163	171	0	0	1	0	0	1
Bizionia	0	0	0	0	0	0	104	44	149	9	17	1	0	1	0	0	0	0	1	0	0	0	1	0
BogoriellaceaeFA	0	0	0	0	0	0	899	288	389	18	58	2	0	0	0	0	0	0	0	0	0	0	0	0
BradyrhizobiaceaeFA	24	14	48	23	136	85	0	0	0	0	0	0	48	47	78	94	69	57	0	1	1	3	0	2
Burkholderia	6	8	9	6	12	12	5	9	11	3	3	4	12	10	9	8	9	8	7	6	12	7	21	6
BurkholderialesOR	0	0	0	0	0	0	97	252	66	5	31	0	0	0	0	1	0	0	0	1	0	0	0	0
C1_B004	2	1	0	0	0	0	25	0	13	247	22	34	0	11	0	0	1	1	348	449	681	715	1383	715
C6CL	0	0	0	0	0	0	3	3	5	19	43	30	0	0	0	0	0	0	1	2	0	0	2	0
CCM11bPH	111	95	161	50	156	383	8	1	20	211	7	81	51	225	182	269	74	114	159	25	550	482	69	725
CFB-26OR	1	0	1	0	1	2	2158	1906	1385	629	445	23	0	0	1	0	0	1	50	105	75	81	266	99
CH21CL	0	0	0	0	0	0	3	117	88	12	59	3	0	0	1	0	0	0	1	1	0	0	1	0
CL500-15OR	2	0	14	1	0	1	57	128	207	26	174	10	2	3	28	3	46	2	21	13	8	8	40	4
CL500-29FA	3	0	2	2	7	14	698	309	387	41	63	5	77	51	20	232	2	107	78	131	80	69	235	35
CTD005-82B-02OR	79	79	160	70	248	174	4	4	144	1	8	3	54	46	160	41	167	30	0	3	5	2	7	2
CV106OR	0	0	0	0	0	0	53	374	202	13	147	16	0	0	0	0	0	0	12	11	10	10	20	1
Caldilinea	0	0	0	0	0	0	89	93	90	230	112	366	0	0	0	0	0	0	16	45	10	14	16	3
CaldilineaceaeFA	0	0	0	0	0	0	140	59	67	40	5	16	0	0	0	0	0	0	117	238	54	54	191	26
CaldithrixalesOR	0	0	0	1	0	0	445	773	1340	337	2101	110	0	0	0	0	0	2	1929	1263	1801	1696	2979	556
Caminicella	9	16	40	3	42	157	0	11	45	39	63	32	73	196	82	197	11	69	9	23	56	57	242	266
CampylobacteralesOR	163	59	23	53	47	471	792	30	41	218	128	166	14	517	29	16	6	23	2251	2643	3460	3480	14788	4084
Cand. Cloacamonas	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	87	64	318	303	312	83
Cand. Entotheonella	0	0	0	0	0	0	63	539	296	68	297	10	0	0	0	0	0	0	1	2	1	0	0	0
Cand. Magnetobacterium	0	0	0	0	0	0	5	0	2	11	0	0	0	1	0	0	0	0	422	97	50	60	1063	32
Cand. Nitrososphaera	0	0	0	1	0	0	162	469	713	41	42	1	0	0	0	0	0	0	0	2	1	0	0	1
Cand. Rhabdochlamydia	3	9	63	78	2	2	10	8	8	45	22	3	0	6	4	0	5	1	0	2	1	2	1	1
Cand. Solibacter	8	7	27	16	22	23	527	1881	1658	2751	2061	851	10	22	31	20	16	22	53	80	111	94	193	68
CatabacteriaceaeFA	25	39	5	11	22	12	0	1	10	173	15	87	2	53	3	2	1	1	46	450	801	738	708	1969
Celerinatantimonas	0	0	0	0	0	0	8	171	2	9	103	2	0	0	0	0	0	0	0	0	0	0	0	0
CenarchaeaceaeFA	0	0	0	0	0	0	25	715	331	54	535	15	0	0	0	0	0	0	5	2	1	0	8	0
ChlamydialesOR	6	4	53	171	6	44	20	228	195	295	116	31	89	67	27	49	14	79	1	19	35	31	33	24
ChloracidobacteriaCL	0	0	0	0	0	0	32	86	96	18	165	165	0	0	0	0	0	0	2	8	2	2	1	1
ChlorobiPH	5	3	19	5	12	2	7	0	5	1	1	3	28	84	63	20	30	38	13	6	15	11	32	3
Chloroflexi-4CL	0	0	0	1	0	0	25	434	223	180	246	27	0	0	0	0	0	0	2	0	0	1	2	0
ChloroflexiPH	0	0	0	0	0	0	34	134	62	1456	88	1151	0	0	0	0	0	0	0	4	0	0	1	6
ChlorophytaOR	47	4	29	22	76	54	0	0	0	0	0	0	38	55	43	52	4	25	0	0	0	0	1	0
ChromatiaceaeFA	0	0	1	0	0	1	70	562	100	235	64	638	1	3	14	15	18	4	153	237	202	156	214	1091
ChromatialesOR	290	273	888	651	637	532	5877	4745	3580	2616	5941	6582	1052	761	996	765	1167	665	7926	10011	4924	4635	11169	3428
ChroococcalesOR	0	0	1	0	9	4	0	0	0	0	0	0	4	169	26	14	3	2	0	0	1	0	1	2
ClostridiaCL	1	0	1	1	0	0	0	60	12	269	179	150	0	2	3	1	1	0	6	116	243	215	284	353
ClostridiaceaeFA	10	3	49	6	46	118	0	1	38	46	188	844	33	74	72	84	8	28	6	6	12	15	23	11
Clostridiales Family XI. Incertae SedisFA	7690	10842	3961	4691	1992	1993	62	13	18	6	1	0	2618	758	1189	2965	888	3459	0	3	15	18	7	12
Clostridiales Family XII. Incertae SedisFA	61	101	9	23	6	46	816	8	0	0	2	0	8	28	21	42	3	56	15	2	5	5	6	0
Clostridiales Family XIII. Incertae SedisFA	493	786	1897	1982	334	301	0	2	0	0	0	0	31	13	28	126	21	31	0	0	0	2	0	7
ClostridialesOR	17693	31325	16136	19309	11841	13093	10058	126	74	39	95	149	4319	3031	8547	10048	6788	16527	166	173	366	350	581	408
Clostridium	22	26	226	28	56	53	179	1	0	1	0	0	27	16	159	31	114	25	9	79	3	0	14	3
CohaesibacteraceaeFA	160	104	377	91	265	445	28	92	342	22	22	2	107	276	275	217	235	150	1	21	53	39	23	206
Cohnella	0	0	6	0	2	7	0	7	7	349	18	57	3	8	16	14	2	4	2	35	5	3	14	7
Congregibacter	7620	5230	2892	4005	6007	4870	65	46	90	12	15	4	1466	847	2225	1650	2143	1712	86	25	34	36	64	12
CoriobacterialesOR	0	0	0	1	0	0	0	0	1	290	1	6	0	1	1	0	0	1	1	8	9	9	12	23
Corynebacterium	0	0	0	0	0	3	0	0	0	0	0	0	2	57	15	23	0	0	0	2	0	0	0	0
CoxiellaceaeFA	5	14	150	140	27	46	30	36	73	43	174	22	43	33	57	54	26	46	0	8	1	1	4	3
Croceibacter	0	0	0	0	0	0	1	42	85	1189	141	136	1	0	0	0	0	0	0	0	0	0	0	0
CryomorphaceaeFA	41	144	51	122	22	6	170	12	5	1	1	0	31	15	77	18	133	39	1	0	0	0	0	0
Cyclobacterium	16	44	73	132	18	13	87	3	25	0	2	0	22	27	111	33	155	237	0	0	0	0	0	0
Cycloclasticus	0	0	0	0	0	0	63	605	97	4	116	3	0	0	0	0	0	0	0	0	0	0	0	0
Cytophaga	0	0	0	0	1	0	99	1056	746	176	600	32	0	0	0	0	0	0	0	0	0	0	0	0
DHVE3PH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	25	28	36	7
DRC31OR	0	1	0	0	1	0	1495	1410	1657	245	533	54	0	0	1	0	0	1	508	639	270	278	740	87
DS-18OR	0	0	0	0	0	0	252	126	952	11	77	5	0	0	0	0	0	0	54	68	19	29	154	24
DeferribacteraceaeFA	23	8	61	43	112	65	12	0	1	0	0	0	517	559	219	186	77	129	32	7	22	26	51	9
Dehalobacterium	1	0	1	2	1	4	0	0	0	2	0	0	2	11	4	3	1	2	29	31	60	47	140	50
DehalococcoidaceaeFA	1	2	2	3	1	4	0	0	1	174	16	88	0	6	2	1	0	0	117	170	328	281	559	333
DehalococcoidetesCL	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	25	39	113	90	172	54
Deinococcus	538	472	590	729	304	320	891	489	108	334	749	1314	348	468	278	479	363	321	4	158	114	103	35	388
DeltaproteobacteriaCL	369	276	1087	325	646	950	320	1128	818	1942	1519	4271	247	554	653	330	448	243	872	596	656	623	1745	912
Demequina	0	3	41	20	0	5	1	153	8	14	65	122	4	23	1	12	0	4	1	22	74	52	163	158
Desulfacinum	0	0	0	0	0	0	0	0	2	41	36	226	0	0	0	0	0	0	7	87	12	7	87	243
Desulfatibacillum	1	0	3	0	2	0	8	0	36	13	4	1	2	3	12	0	13	2	23	16	42	41	71	17
Desulfitobacter	0	1	0	0	2	5	0	0	0	10	0	1	3	2	19	12	0	2	0	11	11	16	27	132
DesulfitobacteraceaeFA	689	587	451	634	412	653	1	1	2	1	1	0	410	360	229	649	79	665	1	15	23	24	30	124
Desulfobacca	7	8	37	3	24	24	9	1	2	0	0	0	2	15	30	8	9	4	19	55	48	29	54	21
Desulfobacter	1082	1602	2915	596	1585	511	1	2	4	5	0	9	320	421	2239	556	2808	579	15	45	56	47	249	72
DesulfobacteraceaeFA	462	531	716	433	365	444	1630	228	647	4763	366	1439	336	581	964	131	3274	259	10175	12714	14446	13340	25817	11363
DesulfobacteralesOR	0	1	1	0	0	0	57	71	67	560	14	25	0	23	1	0	1	0	1887	1801	1017	989	2719	780
Desulfobacterium	542	206	1821	69	528	289	60	25	103	4055	802	4220	163	705	1860	127	4177	569	1085	1872	2098	1890	4335	2564
Desulfobacula	37	37	326	79	82	129	1	1	20	23	12	14	359	2467	2265	145	4518	820	430	109	547	504	363	115
DesulfobulbaceaeFA	88	139	473	127	234	691	4591	464	4801	13983	2643	9465	334	1807	1669	316	2296	466	14943	16837	9164	8702	22047	8429
Desulfobulbus	0	0	0	0	0	1	14	1	76	647	2359	3270	1	0	1	0	2	0	118	140	128	113	663	380
Desulfocapsa	0	0	0	0	6	10	29	2	77	11	33	177	1	16	35	2	103	2	35	37	149	150	434	94
Desulfococcus	218	69	627	160	744	445	78	12	205	691	16	140	1199	3944	2057	674	1239	761	573	556	1539	1485	1868	2122
Desulfofaba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	119	7	4	19	10
Desulfohalobium	2280	2756	1721	1489	1685	827	0	3	4	1	0	0	1088	376	1296	1138	5367	2129	1	0	1	4	5	7
Desulfomonile	0	0	0	0	0	0	5	2	1	80	0	0	0	3	0	0	0	0	18	73	44	38	126	48
Desulfonatronospira	18	19	26	27	33	12	35	70	394	26	120	4	69	49	114	21	143	129	0	0	0	0	1	0
Desulfonatronovibrio	119	171	502	548	173	126	0	0	1	0	1	0	774	225	413	230	301	655	0	0	1	0	0	4
Desulfonatronum	2	13	69	19	7	6	0	0	0	0	0	0	4	2	7	5	56	12	0	0	0	0	0	0
Desulfosarcina	0	0	0	0	0	0	152	14	45	777	17	39	0	6	1	0	0	0	1266	1155	1537	1429	3355	1188
Desulfosporosinus	0	0	2	0	3	30	0	4	15	93	65	27	6	27	11	20	3	3	7	49	34	23	146	408
Desulfotomaculum	0	0	5	1	2	14	0	5	3	50	3	7	2	11	29	12	2	7	17	107	74	46	221	193
Desulfovermiculus	707	307	678	433	555	524	2	8	14	2	3	3	2188	3814	2453	1069	1088	2455	2	3	169	136	38	21
Desulfovibrio	473	682	798	1582	149	257	73	0	0	2	56	15444	151	96	96	392	350	405	21	25	4	7	90	12
DesulfovibrionalesOR	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	10	65	50	34	75
DesulfurellaceaeFA	326	275	602	338	686	704	2	107	173	146	885	21	329	907	745	197	576	368	39	11	349	256	54	34
Desulfurispirillum	42	70	28	22	12	11	0	0	0	0	0	0	7	1	7	0	24	16	0	0	0	0	0	1
DesulfuromonadaceaeFA	1787	547	1103	1122	1028	872	6665	4731	7459	721	11382	9472	738	5267	1705	1647	622	1568	403	268	2263	1838	1028	399
DesulfuromonadalesOR	1320	956	2237	1976	2397	1612	7203	1461	3348	1261	939	5965	582	1298	1412	723	881	840	21241	17782	22836	21491	29093	8940
Desulfuromonas	70	23	195	50	109	31	4	1	2	0	0	0	16	27	113	22	100	22	0	1	5	0	4	3
Desulfuromusa	0	0	0	0	0	0	8	12	19	4	6	5	0	3	0	0	0	0	19	6	18	18	107	46
Dethiobacter	0	0	1	0	0	0	0	0	0	17	0	0	1	3	7	5	1	3	1	9	12	8	19	60
Devosia	0	0	0	0	0	0	8	395	310	507	1767	1568	0	0	0	0	0	0	0	1	1	4	6	4
Dokdonella	0	0	0	0	0	0	111	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
E2OR	0	0	0	0	0	0	0	0	0	0	0	0	17	165	18	6	2	1	0	0	0	0	0	0
EB1017FA	0	0	0	0	0	1	1	179	50	105	425	184	1	0	0	1	0	0	0	3	0	0	0	0
EC214CL	3	8	4	7	7	3	3	309	161	243	2656	854	2	16	3	1	1	1	1	2	43	28	6	46
EctothiorhodospiraceaeFA	119	126	229	74	315	156	0	60	106	277	742	48	67	157	305	108	380	111	7	800	114	92	28	173
EpsilonproteobacteriaCL	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	186	189	12	0
Erythrobacter	2	4	6	25	3	6	76	26	58	18	8	0	15	67	5	82	2	231	7	9	1	2	33	6
ErythrobacteraceaeFA	131	124	403	169	141	140	96	38	125	4	13	3	166	128	279	163	478	53	4	8	10	5	100	2
EubacteriaceaeFA	14	16	6	4	11	16	0	0	0	0	0	0	2	9	10	66	1	17	0	0	0	0	0	0
Eudoraea	0	1	1	1	0	0	655	1479	2100	395	1225	601	0	4	0	1	2	0	158	417	226	223	482	125
EuryarchaeotaPH	0	0	1	0	2	3	2	2	3	13	56	142	40	48	98	9	132	32	144	62	339	365	390	52
EuzebiaceaeFA	74	22	176	89	137	200	101	27	26	1	2	0	258	197	139	297	46	95	1	0	2	0	36	2
FFCH393CL	0	0	0	0	0	0	67	33	112	9	22	2	0	0	0	0	0	1	112	76	48	52	156	15
FirmicutesPH	3	3	11	9	3	18	1	0	0	0	0	0	4	44	7	12	2	12	2	0	13	14	4	11
FlammeovirgaceaeFA	15	18	124	58	29	23	5650	5510	4547	506	2284	495	25	56	174	33	296	263	2487	2277	759	728	3212	557
FlavobacteriaCL	174	268	811	325	471	273	404	319	178	423	91	104	271	271	1541	259	1675	285	387	272	238	261	701	157
FlavobacteriaceaeFA	68	147	142	35	57	18	4139	870	1038	310	376	77	22	92	39	35	37	176	1136	1076	1412	1225	1621	451
FlexibacteraceaeFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	16	46	47	32	2
Formosa	0	0	0	0	0	0	159	88	24	9	142	37	0	0	0	0	0	0	0	0	1	0	0	0
Fulvivirga	0	0	1	0	0	0	46	482	72	3	53	69	0	0	0	0	0	0	2	2	0	3	23	0
FusobacteriaceaeFA	0	0	16	1	6	0	0	0	0	0	1	0	10	18	99	2	251	12	22	12	14	22	38	4
GCA004OR	6	4	13	18	2	23	2490	994	1358	640	1101	1343	69	2876	127	51	12	101	3018	2680	4093	3974	5646	1689
GN02PH	12	49	8	15	3	13	0	0	0	0	4	0	1	4	22	4	14	2	1	0	0	0	0	0
GN03OR	39	22	276	91	460	181	268	144	368	1563	641	1376	235	537	824	283	1106	239	613	336	546	458	789	119
GN04PH	0	0	0	0	0	0	0	9	4	26	38	83	0	0	0	0	0	0	61	63	137	105	143	51
GN06PH	0	0	0	0	0	0	2	0	0	5	1	0	0	0	0	0	0	0	158	184	164	134	599	79
GN09OR	12	25	69	46	39	33	0	0	2	261	1	1	139	98	306	104	290	309	84	24	333	324	767	108
GN12PH	0	0	0	0	0	0	0	5	3	54	6	74	0	1	0	0	0	0	41	30	80	74	181	112
GN13CL	14	3	25	7	14	18	4	4	15	8	7	22	30	34	21	20	16	30	32	17	24	20	71	22
GN15CL	7	12	17	35	17	13	543	256	358	2814	238	133	7	49	24	9	15	11	1412	1020	2635	2525	2722	1641
GOUTA4PH	0	0	0	0	0	0	0	1	6	67	12	99	0	0	0	0	0	0	1	16	18	24	34	50
GW-22CL	0	0	0	0	1	0	0	0	4	11	0	0	101	107	24	17	17	253	98	117	145	128	253	119
GallionellaceaeFA	0	0	0	0	0	0	1	1	0	79	364	2282	0	0	0	1	0	0	0	0	0	0	0	0
GammaproteobacteriaCL	12486	10039	9841	10422	12739	12004	12045	8436	9901	2104	5578	3153	6602	6435	7776	6660	8619	7001	5625	7473	6514	5778	9745	8642
Gelidibacter	0	0	0	0	0	1	32	558	54	6	281	427	0	0	2	0	0	0	4	0	0	4	1	0
GemmataceaeFA	0	0	0	0	0	0	166	385	540	66	207	34	0	0	0	0	0	0	1	2	0	0	1	0
GemmatimonadaceaeFA	0	0	0	0	0	0	0	1	1	21	37	64	0	0	0	0	0	0	0	0	0	0	0	0
GemmatimonadalesOR	0	0	1	0	0	0	2	736	101	452	1097	1345	0	0	0	0	0	0	1	1	0	1	0	0
GemmatimonadetesCL	495	401	386	546	642	452	1631	4688	4110	3938	6782	5223	454	675	387	423	380	661	1615	1894	1643	1486	2518	1364
Geobacter	0	0	1	1	0	0	0	15	33	959	49	1197	0	1	1	0	1	0	0	0	0	0	3	0
Geotoga	881	740	943	1083	549	608	0	1	3	2	0	1	5160	485	396	1642	2830	2219	0	0	3	2	0	1
Gramella	4	5	0	11	5	14	4925	875	442	57	150	18	6	8	7	7	0	6	21	12	7	4	25	3
H5FA	0	0	0	0	0	0	2480	1230	1394	223	459	1021	0	0	0	0	0	0	14	7	2	2	19	1
HMMVPog-54OR	0	0	0	0	0	0	1	1	4	8	0	0	0	0	0	0	0	0	131	241	159	145	290	114
HN1-15OR	0	0	0	0	0	0	179	117	107	13	17	0	0	0	0	0	0	0	0	1	0	1	0	0
HTCC2089FA	660	677	344	560	1476	640	635	1202	1095	109	650	74	272	374	691	423	677	288	903	1193	590	594	1308	287
HTCC2188FA	32	18	18	15	56	28	830	1364	775	78	169	35	16	22	78	15	134	9	567	359	234	208	673	52
Hahella	0	0	0	0	0	0	81	418	264	22	112	8	0	0	0	0	0	1	4	0	0	0	1	0
Haladaptatus	4	2	22	3	9	85	2	45	237	62	369	6	19	52	47	51	9	22	1	61	273	196	25	288
Halanaerobacter	48	27	715	22	674	1404	2	2	5	0	0	0	241	624	621	862	283	396	1	2	17	18	25	28
HalanaerobiaceaeFA	7034	3224	4837	5075	3715	2353	4	17	5	301	4	21	4039	4954	1151	2084	630	4031	6	64	79	60	142	273
Halanaerobium	3935	3936	5738	4026	2544	2490	3	7	19	6	8	0	4302	3113	3118	2035	11641	7674	1	14	30	18	4	6
HaliangiaceaeFA	0	0	0	0	0	0	10	59	29	26	366	181	0	0	1	0	0	0	344	103	288	233	461	65
Haliangium	1	0	5	3	0	4	62	63	55	24	37	247	8	60	9	4	7	8	48	50	119	94	191	85
Haloarcula	322	253	449	218	1056	1003	1	2	4	2	1	0	154	391	705	587	396	421	0	1	73	78	5	70
Halobacillus	1	0	1	0	0	1	3	9	3	4	32	10	0	7	6	5	0	1	4	2	2	0	3	8
HalobacteriaceaeFA	6015	1712	17357	2202	14781	16127	49	86	101	15	57	5	2290	13409	8355	6700	3076	4297	33	551	10601	8324	882	10595
Halobacterium	267	87	418	94	235	624	1	0	1	1	1	0	79	525	315	423	68	90	4	236	1728	1407	29	493
HalobacteroidaceaeFA	41	24	1928	25	351	831	1	7	0	1	0	0	283	245	488	658	1710	465	2	3	7	7	11	18
Halochromatium	8	3	19	11	45	22	4	0	4	1	0	0	28	169	29	109	24	23	25	18	10	12	24	5
Halococcus	0	0	8	1	3	36	0	1	0	0	0	0	7	30	33	47	2	6	0	2	2	1	11	9
Haloferax	33	12	50	18	104	114	0	1	0	0	0	0	12	16	89	36	48	20	0	3	9	5	1	5
